FILENAME: HD127334_2015-06-16T20-56-48.669_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-16T20:56:48.669
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -16830.104
WS_BJD:        2457190.4
       5480.3444       4410.6938
       5480.3619       4657.2344
       5480.3793       4939.3472
       5480.3968       5121.7354
       5480.4143       5125.5308
       5480.4317       5111.1582
       5480.4492       5175.3267
       5480.4667       5127.3735
       5480.4842       5190.2427
       5480.5016       5231.6626
       5480.5191       5203.2080
       5480.5366       5221.6157
       5480.5540       5232.0889
       5480.5715       5128.3926
       5480.5889       5049.9556
       5480.6064       5180.7529
       5480.6239       5244.8350
       5480.6413       5244.7358
       5480.6588       5220.1035
       5480.6762       5328.6753
       5480.6937       5299.7788
       5480.7111       5214.0674
       5480.7286       5299.5103
       5480.7460       5300.9424
       5480.7635       5346.7871
       5480.7809       5189.8887
       5480.7984       5222.0454
       5480.8158       5236.2119
       5480.8333       5255.6147
       5480.8507       5358.7314
       5480.8682       5352.7070
       5480.8856       5216.7080
       5480.9030       5395.6187
       5480.9205       5385.6445
       5480.9379       5390.9565
       5480.9553       5401.8530
       5480.9728       5396.1914
       5480.9902       5354.8125
       5481.0076       5370.5708
       5481.0251       5419.3311
       5481.0425       5419.6309
       5481.0599       5391.4219
       5481.0774       5438.5283
       5481.0948       5371.2441
       5481.1122       5336.4966
       5481.1296       5411.2881
       5481.1471       5378.4922
       5481.1645       5387.1616
       5481.1819       5442.5864
       5481.1993       5475.3647
       5481.2167       5510.1411
       5481.2342       5352.8228
       5481.2516       5348.4985
       5481.2690       5468.6636
       5481.2864       5477.5996
       5481.3038       5511.0801
       5481.3212       5575.6616
       5481.3386       5348.6533
       5481.3561       5477.5801
       5481.3735       5499.4990
       5481.3909       5601.5840
       5481.4083       5568.2231
       5481.4257       5595.8940
       5481.4431       5613.7827
       5481.4605       5634.3789
       5481.4779       5610.8677
       5481.4953       5722.0874
       5481.5127       5598.0747
       5481.5301       5588.5415
       5481.5475       5726.9731
       5481.5649       5629.7524
       5481.5823       5724.6899
       5481.5997       5578.6582
       5481.6171       5694.2158
       5481.6344       5745.8574
       5481.6518       5866.7568
       5481.6692       5770.8936
       5481.6866       5806.2476
       5481.7040       5767.5288
       5481.7214       5697.1958
       5481.7388       5754.8765
       5481.7561       5691.0483
       5481.7735       5599.1753
       5481.7909       5713.1226
       5481.8083       5600.8188
       5481.8257       5698.0527
       5481.8430       5705.2495
       5481.8604       5701.7607
       5481.8778       5652.9746
       5481.8952       5842.5181
       5481.9125       5735.9131
       5481.9299       5721.9546
       5481.9473       5782.3198
       5481.9646       5838.4302
       5481.9820       5761.0972
       5481.9994       5946.1362
       5482.0167       5901.1094
       5482.0341       5836.9302
       5482.0515       5781.9927
       5482.0688       5868.6748
       5482.0862       5874.6880
       5482.1035       5835.9312
       5482.1209       5843.6177
       5482.1383       5883.4385
       5482.1556       5811.7188
       5482.1730       5939.8657
       5482.1903       6095.7134
       5482.2077       6048.6934
       5482.2250       5980.6943
       5482.2424       5960.7959
       5482.2597       5800.6934
