FILENAME: HD127334_2015-06-12T20-57-33.754_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-12T20:57:33.754
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -16371.536
WS_BJD:        2457186.4
       5480.3442       9270.9131
       5480.3617       9819.8916
       5480.3792       10084.286
       5480.3966       10464.533
       5480.4141       10484.994
       5480.4316       10643.746
       5480.4490       10471.299
       5480.4665       10461.162
       5480.4840       10527.676
       5480.5015       10449.986
       5480.5189       10340.757
       5480.5364       10380.727
       5480.5538       10862.379
       5480.5713       10751.925
       5480.5888       10690.458
       5480.6062       10735.953
       5480.6237       10625.827
       5480.6411       10646.302
       5480.6586       10771.743
       5480.6761       10680.499
       5480.6935       10832.015
       5480.7110       10893.694
       5480.7284       10988.603
       5480.7459       10890.788
       5480.7633       10814.590
       5480.7808       10851.422
       5480.7982       10728.318
       5480.8157       10811.886
       5480.8331       10991.270
       5480.8506       11111.066
       5480.8680       11057.635
       5480.8854       11049.627
       5480.9029       11255.395
       5480.9203       11131.072
       5480.9378       11082.274
       5480.9552       11308.919
       5480.9726       11139.456
       5480.9901       11188.904
       5481.0075       11107.853
       5481.0249       11119.682
       5481.0424       11034.538
       5481.0598       11074.326
       5481.0772       10965.680
       5481.0946       10903.642
       5481.1121       11146.385
       5481.1295       11101.177
       5481.1469       11262.881
       5481.1643       10947.050
       5481.1818       11259.074
       5481.1992       11288.074
       5481.2166       10981.378
       5481.2340       11005.626
       5481.2514       11120.044
       5481.2689       11319.479
       5481.2863       11086.512
       5481.3037       11348.707
       5481.3211       11352.668
       5481.3385       11267.656
       5481.3559       11417.593
       5481.3733       11343.771
       5481.3907       11499.124
       5481.4081       11411.036
       5481.4255       11636.688
       5481.4430       11772.614
       5481.4604       11669.665
       5481.4778       11538.019
       5481.4952       11678.346
       5481.5126       11785.093
       5481.5300       11898.013
       5481.5474       11629.371
       5481.5647       11655.139
       5481.5821       11662.692
       5481.5995       11616.221
       5481.6169       11693.841
       5481.6343       11653.965
       5481.6517       11821.275
       5481.6691       11914.848
       5481.6865       11723.047
       5481.7039       11871.413
       5481.7213       11827.493
       5481.7386       11689.797
       5481.7560       11627.675
       5481.7734       11516.774
       5481.7908       11487.328
       5481.8082       11658.920
       5481.8255       11758.522
       5481.8429       11681.899
       5481.8603       11765.887
       5481.8777       11731.313
       5481.8950       12066.728
       5481.9124       12113.320
       5481.9298       11816.716
       5481.9472       11959.788
       5481.9645       11989.307
       5481.9819       12009.321
       5481.9993       11915.771
       5482.0166       12084.869
       5482.0340       12057.992
       5482.0514       12199.652
       5482.0687       12152.129
       5482.0861       12058.998
       5482.1034       12082.793
       5482.1208       12121.813
       5482.1381       12003.026
       5482.1555       12084.505
       5482.1729       12350.746
       5482.1902       12184.640
       5482.2076       12273.618
       5482.2249       12238.025
       5482.2423       12056.175
       5482.2596       11781.156
       5482.2770       11326.252
       5482.2943       10801.945
       5482.3117       10381.705
       5482.3290       10474.525
       5482.3463       10599.270
       5482.3637       11072.490
       5482.3810       11624.648
       5482.3984       12133.435
       5482.4157       12267.893
