FILENAME: HD127334_2015-06-19T20-55-00.489_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-19T20:55:00.489
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -17118.089
WS_BJD:        2457193.4
       5480.3442       6981.5703
       5480.3617       7668.4355
       5480.3792       8134.0195
       5480.3967       8067.3701
       5480.4141       8407.2100
       5480.4316       8550.6719
       5480.4491       8569.8613
       5480.4665       8529.9033
       5480.4840       8535.6641
       5480.5015       8492.2139
       5480.5189       8546.3359
       5480.5364       8453.8936
       5480.5539       8650.8018
       5480.5713       8462.1895
       5480.5888       8637.4561
       5480.6063       8632.3721
       5480.6237       8514.7891
       5480.6412       8562.9619
       5480.6586       8461.6670
       5480.6761       8694.9141
       5480.6935       8624.0723
       5480.7110       8778.7529
       5480.7284       8623.7285
       5480.7459       8773.6006
       5480.7633       8606.5137
       5480.7808       8708.0156
       5480.7982       8709.8018
       5480.8157       8742.9453
       5480.8331       8862.8730
       5480.8506       8632.2383
       5480.8680       8790.6563
       5480.8855       8756.9219
       5480.9029       8813.3633
       5480.9203       8794.3105
       5480.9378       8932.2988
       5480.9552       8864.6260
       5480.9726       8917.5264
       5480.9901       8971.7305
       5481.0075       9111.8535
       5481.0249       8898.0947
       5481.0424       8887.4111
       5481.0598       8705.9512
       5481.0772       8900.1279
       5481.0947       8974.4463
       5481.1121       8865.8047
       5481.1295       8930.7500
       5481.1469       8862.4277
       5481.1644       8821.1611
       5481.1818       8755.2109
       5481.1992       8863.0830
       5481.2166       8900.4688
       5481.2340       8959.2568
       5481.2515       8863.1201
       5481.2689       8990.5381
       5481.2863       8993.7705
       5481.3037       9114.9414
       5481.3211       9089.5430
       5481.3385       9048.1006
       5481.3559       9195.0820
       5481.3733       9269.4473
       5481.3907       9284.0742
       5481.4082       9170.7412
       5481.4256       9270.8604
       5481.4430       9305.8086
       5481.4604       9374.9033
       5481.4778       9071.3760
       5481.4952       9403.4717
       5481.5126       9447.9551
       5481.5300       9287.6904
       5481.5474       9488.5098
       5481.5648       9416.3838
       5481.5821       9503.2051
       5481.5995       9301.2100
       5481.6169       9457.4219
       5481.6343       9393.8936
       5481.6517       9543.8096
       5481.6691       9682.7109
       5481.6865       9467.4131
       5481.7039       9784.7705
       5481.7213       9367.6680
       5481.7386       9390.9238
       5481.7560       9390.3643
       5481.7734       9400.6758
       5481.7908       9355.6924
       5481.8082       9429.9443
       5481.8255       9572.8320
       5481.8429       9476.1807
       5481.8603       9458.3037
       5481.8777       9457.6445
       5481.8950       9495.1973
       5481.9124       9544.7764
       5481.9298       9630.9189
       5481.9472       9467.0205
       5481.9645       9593.6650
       5481.9819       9542.3184
       5481.9993       9534.6416
       5482.0166       9606.8027
       5482.0340       9678.1406
       5482.0513       9649.6865
       5482.0687       9824.7598
       5482.0861       9869.1016
       5482.1034       9581.9033
       5482.1208       9582.2686
       5482.1381       9678.8525
       5482.1555       9684.9600
       5482.1729       9655.5537
       5482.1902       9776.5527
       5482.2076       9942.9121
       5482.2249       9771.9746
       5482.2423       9837.9766
       5482.2596       9687.0596
