FILENAME: HD127334_2015-06-19T21-02-55.142_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-19T21:02:55.142
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -17129.457
WS_BJD:        2457193.4
       5480.3442       9791.4932
       5480.3617       10447.124
       5480.3792       11167.526
       5480.3967       11309.955
       5480.4141       11664.924
       5480.4316       11733.859
       5480.4491       11757.225
       5480.4665       11761.928
       5480.4840       11685.824
       5480.5015       11709.186
       5480.5189       11664.003
       5480.5364       11715.497
       5480.5539       11805.074
       5480.5713       11961.068
       5480.5888       11943.455
       5480.6063       11911.295
       5480.6237       11848.719
       5480.6412       11817.491
       5480.6586       11856.068
       5480.6761       11821.085
       5480.6935       12097.120
       5480.7110       12203.825
       5480.7284       11989.037
       5480.7459       12079.922
       5480.7633       12019.778
       5480.7808       11848.024
       5480.7982       12041.767
       5480.8157       12110.771
       5480.8331       12032.229
       5480.8506       11967.901
       5480.8680       12061.060
       5480.8855       12043.225
       5480.9029       11990.534
       5480.9203       12173.267
       5480.9378       12210.620
       5480.9552       12226.165
       5480.9726       12499.512
       5480.9901       12324.005
       5481.0075       12248.274
       5481.0249       12412.749
       5481.0424       12322.952
       5481.0598       12087.144
       5481.0772       12289.945
       5481.0947       12243.871
       5481.1121       12327.595
       5481.1295       12424.330
       5481.1469       12279.119
       5481.1644       12039.806
       5481.1818       12050.260
       5481.1992       12241.457
       5481.2166       12255.988
       5481.2340       12418.114
       5481.2515       12357.719
       5481.2689       12331.836
       5481.2863       12474.598
       5481.3037       12426.689
       5481.3211       12474.950
       5481.3385       12343.717
       5481.3559       12651.857
       5481.3733       12692.574
       5481.3907       12697.791
       5481.4082       12754.259
       5481.4256       12789.003
       5481.4430       12792.703
       5481.4604       12860.971
       5481.4778       12762.335
       5481.4952       13042.774
       5481.5126       12976.646
       5481.5300       12857.575
       5481.5474       12955.464
       5481.5648       12954.520
       5481.5821       12830.730
       5481.5995       12854.328
       5481.6169       13144.194
       5481.6343       13025.363
       5481.6517       13104.375
       5481.6691       13092.167
       5481.6865       13344.756
       5481.7039       13382.658
       5481.7213       12784.052
       5481.7386       13131.899
       5481.7560       12990.279
       5481.7734       13048.418
       5481.7908       12918.912
       5481.8082       12965.240
       5481.8255       13127.108
       5481.8429       12886.273
       5481.8603       13070.494
       5481.8777       13151.802
       5481.8950       13099.494
       5481.9124       13304.437
       5481.9298       13230.051
       5481.9472       13188.656
       5481.9645       13239.072
       5481.9819       13239.903
       5481.9993       13095.429
       5482.0166       13439.120
       5482.0340       13305.446
       5482.0513       13355.549
       5482.0687       13312.970
       5482.0861       13609.038
       5482.1034       13535.111
       5482.1208       13294.091
       5482.1381       13462.747
       5482.1555       13488.854
       5482.1729       13488.915
       5482.1902       13626.158
       5482.2076       13576.909
       5482.2249       13720.618
       5482.2423       13611.880
       5482.2596       13384.689
       5482.2770       13084.068
       5482.2943       12773.491
       5482.3116       11817.930
       5482.3290       11747.338
       5482.3463       11555.909
       5482.3637       11894.074
       5482.3810       12372.119
       5482.3984       12910.650
       5482.4157       13293.215
