FILENAME: HD127334_2015-06-18T20-56-13.026_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-18T20:56:13.026
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -17028.453
WS_BJD:        2457192.4
       5480.3441       8718.3730
       5480.3615       9499.9619
       5480.3790       9958.5781
       5480.3965       10151.506
       5480.4140       10451.047
       5480.4314       10363.339
       5480.4489       10366.758
       5480.4664       10458.123
       5480.4839       10359.680
       5480.5013       10167.125
       5480.5188       10583.939
       5480.5363       10462.759
       5480.5537       10412.509
       5480.5712       10766.899
       5480.5886       10515.571
       5480.6061       10563.880
       5480.6236       10557.577
       5480.6410       10552.970
       5480.6585       10499.760
       5480.6759       10433.859
       5480.6934       10882.629
       5480.7108       10728.901
       5480.7283       10671.037
       5480.7457       10582.104
       5480.7632       10673.216
       5480.7806       10512.961
       5480.7981       10567.243
       5480.8155       10860.902
       5480.8330       10715.230
       5480.8504       10933.930
       5480.8679       10806.946
       5480.8853       10892.726
       5480.9028       10913.380
       5480.9202       10865.780
       5480.9376       10839.126
       5480.9551       10978.707
       5480.9725       10988.554
       5480.9899       10874.249
       5481.0074       10919.851
       5481.0248       10936.177
       5481.0422       10737.799
       5481.0597       10924.729
       5481.0771       10836.858
       5481.0945       10703.714
       5481.1120       11097.173
       5481.1294       10754.612
       5481.1468       10945.729
       5481.1642       11057.029
       5481.1817       10979.200
       5481.1991       10860.902
       5481.2165       10813.120
       5481.2339       10963.831
       5481.2513       10884.080
       5481.2687       10971.754
       5481.2862       10817.882
       5481.3036       11330.541
       5481.3210       11254.625
       5481.3384       11149.910
       5481.3558       11273.316
       5481.3732       11373.396
       5481.3906       11182.484
       5481.4080       11254.949
       5481.4254       11450.173
       5481.4428       11428.479
       5481.4602       11305.364
       5481.4776       11431.908
       5481.4950       11300.160
       5481.5124       11448.735
       5481.5298       11565.165
       5481.5472       11427.219
       5481.5646       11475.293
       5481.5820       11568.732
       5481.5994       11619.593
       5481.6168       11620.346
       5481.6342       11636.822
       5481.6516       11710.246
       5481.6690       11705.963
       5481.6864       11877.096
       5481.7038       11631.725
       5481.7212       11753.205
       5481.7385       11537.021
       5481.7559       11567.305
       5481.7733       11522.052
       5481.7907       11451.319
       5481.8081       11429.089
       5481.8254       11550.787
       5481.8428       11719.596
       5481.8602       11769.684
       5481.8776       11727.243
       5481.8949       11800.037
       5481.9123       11851.166
       5481.9297       11714.991
       5481.9471       11777.630
       5481.9644       11847.556
       5481.9818       11823.720
       5481.9992       11947.146
       5482.0165       11817.851
       5482.0339       12021.245
       5482.0513       11919.826
       5482.0686       11881.895
       5482.0860       12001.797
       5482.1033       11978.245
       5482.1207       12119.137
       5482.1381       11975.171
       5482.1554       12068.110
       5482.1728       12290.628
       5482.1901       12208.726
       5482.2075       12386.153
       5482.2248       12167.283
       5482.2422       12148.318
       5482.2595       11775.516
       5482.2769       11477.317
       5482.2942       11022.200
       5482.3116       10707.063
       5482.3289       10210.774
       5482.3462       10516.210
       5482.3636       10795.579
       5482.3809       11021.208
       5482.3983       11858.326
       5482.4156       11907.391
