FILENAME: HD127334_2015-06-15T20-55-06.343_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-15T20:55:06.343
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -16720.401
WS_BJD:        2457189.4
       5480.3446       6361.0815
       5480.3620       6729.4370
       5480.3795       7073.6670
       5480.3970       7247.2476
       5480.4145       7063.6680
       5480.4319       7321.1821
       5480.4494       7399.3242
       5480.4669       7250.3770
       5480.4843       7304.7241
       5480.5018       7155.3667
       5480.5193       7281.6055
       5480.5367       7386.6577
       5480.5542       7301.6392
       5480.5717       7244.1729
       5480.5891       7452.0854
       5480.6066       7141.6187
       5480.6240       7254.5220
       5480.6415       7380.1772
       5480.6590       7432.0205
       5480.6764       7519.4072
       5480.6939       7436.3564
       5480.7113       7525.2271
       5480.7288       7407.3521
       5480.7462       7338.9014
       5480.7637       7461.8037
       5480.7811       7444.5737
       5480.7986       7322.5415
       5480.8160       7502.3208
       5480.8334       7510.4351
       5480.8509       7495.6577
       5480.8683       7609.5815
       5480.8858       7457.1265
       5480.9032       7532.3164
       5480.9206       7705.2939
       5480.9381       7601.2241
       5480.9555       7862.0708
       5480.9730       7706.5415
       5480.9904       7601.1968
       5481.0078       7571.6685
       5481.0252       7575.6396
       5481.0427       7529.5854
       5481.0601       7578.0303
       5481.0775       7610.7290
       5481.0950       7729.0234
       5481.1124       7677.0732
       5481.1298       7568.7661
       5481.1472       7550.9741
       5481.1647       7544.0225
       5481.1821       7692.1313
       5481.1995       7646.7676
       5481.2169       7656.4956
       5481.2343       7826.6260
       5481.2517       7706.6743
       5481.2692       7640.5776
       5481.2866       7596.2295
       5481.3040       7928.6729
       5481.3214       7770.6021
       5481.3388       7757.8462
       5481.3562       7696.9155
       5481.3736       7898.5293
       5481.3910       7928.9565
       5481.4084       7986.8950
       5481.4258       7845.4194
       5481.4432       7936.0327
       5481.4606       8128.0337
       5481.4780       7908.6758
       5481.4954       7972.7515
       5481.5128       8112.3472
       5481.5302       7956.6196
       5481.5476       8045.3950
       5481.5650       7959.6333
       5481.5824       8012.5527
       5481.5998       8133.4722
       5481.6172       8081.3066
       5481.6346       8113.7046
       5481.6520       8229.2197
       5481.6694       8110.4150
       5481.6868       8155.3413
       5481.7041       8225.0928
       5481.7215       8056.1064
       5481.7389       8195.3057
       5481.7563       8096.6357
       5481.7737       8011.3613
       5481.7910       7955.6318
       5481.8084       8018.0322
       5481.8258       8120.0234
       5481.8432       8051.0825
       5481.8606       8074.2266
       5481.8779       8249.0410
       5481.8953       8211.9316
       5481.9127       8189.9316
       5481.9300       8326.0313
       5481.9474       8349.6875
       5481.9648       8219.9316
       5481.9821       8187.4487
       5481.9995       8187.3389
       5482.0169       8178.3623
       5482.0342       8402.6504
       5482.0516       8186.4971
       5482.0690       8366.7334
       5482.0863       8347.4004
       5482.1037       8383.9795
       5482.1210       8394.4648
       5482.1384       8484.1650
       5482.1557       8536.5967
       5482.1731       8345.3984
       5482.1904       8450.5449
       5482.2078       8539.8506
       5482.2251       8507.0352
       5482.2425       8394.5039
       5482.2598       8219.8232
