FILENAME: HD127334_2015-06-10T22-44-28.987_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-10T22:44:28.987
EXPTIME:        900.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -16267.693
WS_BJD:        2457184.5
       5480.3443       9505.8848
       5480.3617       10198.218
       5480.3792       10531.423
       5480.3967       10654.538
       5480.4142       10787.065
       5480.4316       10726.303
       5480.4491       10819.608
       5480.4666       10726.757
       5480.4840       10765.394
       5480.5015       10821.049
       5480.5190       10735.720
       5480.5364       10820.932
       5480.5539       11035.287
       5480.5714       10827.022
       5480.5888       10973.248
       5480.6063       10746.918
       5480.6237       10965.933
       5480.6412       11009.686
       5480.6587       10957.058
       5480.6761       11117.731
       5480.6936       11241.000
       5480.7110       11215.198
       5480.7285       11122.293
       5480.7459       10998.246
       5480.7634       11184.381
       5480.7808       11126.044
       5480.7983       10948.303
       5480.8157       11001.121
       5480.8332       11170.040
       5480.8506       11147.154
       5480.8680       11171.471
       5480.8855       11384.871
       5480.9029       11285.109
       5480.9204       11331.427
       5480.9378       11378.252
       5480.9552       11468.662
       5480.9727       11559.941
       5480.9901       11422.338
       5481.0075       11253.729
       5481.0250       11181.000
       5481.0424       11209.966
       5481.0598       11412.562
       5481.0773       11213.015
       5481.0947       11249.476
       5481.1121       11288.149
       5481.1295       11271.544
       5481.1470       11281.529
       5481.1644       11148.571
       5481.1818       11408.472
       5481.1992       11334.174
       5481.2166       11444.729
       5481.2341       11545.258
       5481.2515       11349.190
       5481.2689       11342.068
       5481.2863       11791.601
       5481.3037       11595.618
       5481.3211       11669.833
       5481.3385       11668.771
       5481.3559       11709.684
       5481.3734       11895.689
       5481.3908       11669.600
       5481.4082       12021.783
       5481.4256       11709.123
       5481.4430       11836.892
       5481.4604       12022.506
       5481.4778       11902.616
       5481.4952       12081.758
       5481.5126       11938.511
       5481.5300       11804.596
       5481.5474       11921.499
       5481.5648       11850.875
       5481.5822       11987.980
       5481.5995       12014.087
       5481.6169       11720.778
       5481.6343       12128.006
       5481.6517       12058.389
       5481.6691       12081.120
       5481.6865       12172.926
       5481.7039       12027.256
       5481.7213       11995.692
       5481.7386       11980.801
       5481.7560       12009.081
       5481.7734       11702.896
       5481.7908       11792.185
       5481.8082       11926.676
       5481.8255       12040.830
       5481.8429       11921.402
       5481.8603       12188.624
       5481.8777       12088.592
       5481.8950       12302.079
       5481.9124       12164.882
       5481.9298       12366.936
       5481.9472       12265.615
       5481.9645       12246.028
       5481.9819       12049.013
       5481.9993       12261.474
       5482.0166       12266.515
       5482.0340       12258.901
       5482.0513       12471.705
       5482.0687       12441.105
       5482.0861       12446.601
       5482.1034       12222.472
       5482.1208       12667.133
       5482.1381       12346.516
       5482.1555       12385.445
       5482.1728       12331.693
       5482.1902       12329.523
       5482.2076       12482.187
       5482.2249       12561.210
       5482.2423       12319.114
       5482.2596       12286.334
       5482.2769       11550.734
       5482.2943       10957.268
       5482.3116       10750.243
       5482.3290       10672.278
       5482.3463       10964.449
       5482.3637       11505.569
       5482.3810       11787.190
       5482.3983       12426.223
       5482.4157       12767.279
