FILENAME: HD127334_2015-06-16T20-48-54.706_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-16T20:48:54.706
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -16818.982
WS_BJD:        2457190.4
       5480.3444       4847.9229
       5480.3619       5208.0703
       5480.3793       5431.6113
       5480.3968       5655.8511
       5480.4143       5674.1885
       5480.4317       5772.1509
       5480.4492       5734.2891
       5480.4667       5618.7026
       5480.4842       5824.5913
       5480.5016       5772.0698
       5480.5191       5833.4707
       5480.5366       5680.5171
       5480.5540       5838.7183
       5480.5715       5789.0400
       5480.5889       5671.4004
       5480.6064       5787.6982
       5480.6239       5888.4653
       5480.6413       5812.9043
       5480.6588       5877.6426
       5480.6762       5849.3560
       5480.6937       5799.4570
       5480.7111       5868.1157
       5480.7286       5868.1733
       5480.7460       5828.2725
       5480.7635       5852.1001
       5480.7809       5798.0801
       5480.7984       5861.4126
       5480.8158       5889.1709
       5480.8333       5907.8701
       5480.8507       5973.3774
       5480.8682       5804.8721
       5480.8856       6025.8140
       5480.9030       5976.6982
       5480.9205       6022.5234
       5480.9379       5969.5439
       5480.9553       6115.4380
       5480.9728       5923.0757
       5480.9902       5964.7563
       5481.0076       5949.1084
       5481.0251       6133.2407
       5481.0425       6004.9424
       5481.0599       6099.1489
       5481.0774       5961.4512
       5481.0948       5875.0835
       5481.1122       5865.5957
       5481.1296       6022.5420
       5481.1471       5891.1187
       5481.1645       6027.3931
       5481.1819       6018.8511
       5481.1993       6111.8184
       5481.2167       6020.0142
       5481.2342       6036.2915
       5481.2516       6013.3125
       5481.2690       5902.5996
       5481.2864       6081.2344
       5481.3038       6030.4741
       5481.3212       6098.1860
       5481.3386       6088.7383
       5481.3561       6201.6572
       5481.3735       6103.6602
       5481.3909       6247.9688
       5481.4083       6180.6807
       5481.4257       6291.7349
       5481.4431       6155.7900
       5481.4605       6211.8921
       5481.4779       6338.4473
       5481.4953       6369.5415
       5481.5127       6420.4199
       5481.5301       6199.9873
       5481.5475       6269.4346
       5481.5649       6320.6035
       5481.5823       6198.4517
       5481.5997       6294.5552
       5481.6171       6361.3550
       5481.6344       6340.0298
       5481.6518       6539.0811
       5481.6692       6460.1763
       5481.6866       6448.9609
       5481.7040       6334.5645
       5481.7214       6435.4390
       5481.7388       6382.3491
       5481.7561       6367.5864
       5481.7735       6276.8760
       5481.7909       6337.5918
       5481.8083       6297.8584
       5481.8257       6419.3589
       5481.8430       6370.1821
       5481.8604       6433.5474
       5481.8778       6457.3042
       5481.8952       6402.1689
       5481.9125       6421.7798
       5481.9299       6427.5195
       5481.9473       6517.0005
       5481.9646       6470.2319
       5481.9820       6550.6563
       5481.9994       6539.8154
       5482.0167       6479.5884
       5482.0341       6537.6064
       5482.0515       6503.8369
       5482.0688       6549.0571
       5482.0862       6568.1235
       5482.1035       6608.1025
       5482.1209       6607.5942
       5482.1383       6690.9722
       5482.1556       6570.7861
       5482.1730       6808.0132
       5482.1903       6788.6997
       5482.2077       6579.1475
       5482.2250       6636.0557
       5482.2424       6493.7754
       5482.2597       6436.3203
