FILENAME: HD127334_2015-06-06T20-55-54.116_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-06T20:55:54.116
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863942
WS_BARY:       -15539.895
WS_BJD:        2457180.4
       5480.3441       4172.3721
       5480.3615       4165.5059
       5480.3790       4254.8481
       5480.3965       4297.0781
       5480.4140       4309.1685
       5480.4314       4420.8481
       5480.4489       4393.4409
       5480.4664       4316.6558
       5480.4838       4430.8921
       5480.5013       4417.7671
       5480.5188       4328.1763
       5480.5363       4371.6406
       5480.5537       4310.0679
       5480.5712       4425.3481
       5480.5886       4566.0122
       5480.6061       4390.0737
       5480.6236       4526.5176
       5480.6410       4491.9902
       5480.6585       4431.2266
       5480.6759       4600.9316
       5480.6934       4591.7632
       5480.7109       4582.8740
       5480.7283       4412.0093
       5480.7458       4387.0313
       5480.7632       4477.5522
       5480.7807       4425.4048
       5480.7981       4568.9385
       5480.8156       4597.7080
       5480.8330       4504.9917
       5480.8505       4541.2881
       5480.8679       4557.3101
       5480.8853       4514.6104
       5480.9028       4557.4561
       5480.9202       4555.8755
       5480.9377       4547.3936
       5480.9551       4619.5439
       5480.9725       4659.1797
       5480.9900       4738.7725
       5481.0074       4582.4902
       5481.0248       4628.2578
       5481.0423       4519.5903
       5481.0597       4681.9019
       5481.0771       4524.9771
       5481.0946       4680.3823
       5481.1120       4596.3936
       5481.1294       4651.7798
       5481.1468       4540.4810
       5481.1643       4651.5659
       5481.1817       4645.8862
       5481.1991       4680.8853
       5481.2165       4584.7993
       5481.2340       4620.2310
       5481.2514       4708.8784
       5481.2688       4644.6333
       5481.2862       4700.8306
       5481.3036       4781.9365
       5481.3210       4796.3110
       5481.3384       4821.1436
       5481.3559       4697.7695
       5481.3733       4655.6855
       5481.3907       4803.4194
       5481.4081       4741.7959
       5481.4255       4940.0522
       5481.4429       4904.2017
       5481.4603       4847.2861
       5481.4777       4827.0103
       5481.4951       4815.9390
       5481.5125       4869.8081
       5481.5299       4899.3271
       5481.5473       4864.8569
       5481.5647       4794.4404
       5481.5821       4897.9692
       5481.5995       4967.8584
       5481.6169       4897.9165
       5481.6343       4936.7910
       5481.6517       5002.2202
       5481.6691       4866.3950
       5481.6864       5015.0166
       5481.7038       4881.2212
       5481.7212       4941.1934
       5481.7386       4773.3486
       5481.7560       4872.3843
       5481.7734       4811.1216
       5481.7907       4805.4175
       5481.8081       4927.7905
       5481.8255       4752.4746
       5481.8429       4866.0308
       5481.8603       5024.8125
       5481.8776       4952.7969
       5481.8950       4937.2559
       5481.9124       4973.7212
       5481.9298       5092.7681
       5481.9471       4981.1567
       5481.9645       5016.2573
       5481.9819       5033.0571
       5481.9992       4959.4023
       5482.0166       5130.7148
       5482.0340       5015.5908
       5482.0513       4990.4854
       5482.0687       5105.1357
       5482.0861       5061.8286
       5482.1034       5092.7803
       5482.1208       5065.0444
       5482.1381       5106.6353
       5482.1555       5162.8804
       5482.1728       5177.6875
       5482.1902       4986.9414
       5482.2076       5143.5244
       5482.2249       5165.4683
       5482.2423       4985.9028
       5482.2596       4754.2817
