FILENAME: HD127334_2015-06-10T20-48-37.455_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-10T20:48:37.455
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -16100.598
WS_BJD:        2457184.4
       5480.3443       2232.5894
       5480.3617       2466.6870
       5480.3792       2511.9834
       5480.3967       2517.8481
       5480.4142       2546.7395
       5480.4316       2584.2813
       5480.4491       2508.2759
       5480.4666       2597.3379
       5480.4840       2499.2607
       5480.5015       2535.3384
       5480.5190       2584.8044
       5480.5364       2656.6602
       5480.5539       2539.6282
       5480.5714       2643.9939
       5480.5888       2618.6877
       5480.6063       2600.1118
       5480.6237       2609.6731
       5480.6412       2620.9922
       5480.6587       2628.8779
       5480.6761       2703.3032
       5480.6936       2608.2415
       5480.7110       2735.0027
       5480.7285       2625.2080
       5480.7459       2618.2798
       5480.7634       2646.1860
       5480.7808       2660.9353
       5480.7983       2525.4688
       5480.8157       2648.6099
       5480.8332       2716.2444
       5480.8506       2622.9778
       5480.8680       2713.4768
       5480.8855       2701.3848
       5480.9029       2653.9016
       5480.9204       2648.3816
       5480.9378       2673.9858
       5480.9552       2756.8928
       5480.9727       2730.9670
       5480.9901       2764.4014
       5481.0075       2706.1624
       5481.0250       2637.6055
       5481.0424       2673.9939
       5481.0598       2700.0610
       5481.0773       2719.3230
       5481.0947       2675.3999
       5481.1121       2633.8589
       5481.1295       2699.8579
       5481.1470       2753.3494
       5481.1644       2741.6025
       5481.1818       2641.0134
       5481.1992       2699.0271
       5481.2166       2755.2236
       5481.2341       2700.2568
       5481.2515       2684.3308
       5481.2689       2771.0469
       5481.2863       2809.3340
       5481.3037       2709.4863
       5481.3211       2795.9812
       5481.3385       2733.7078
       5481.3559       2826.9602
       5481.3734       2764.9443
       5481.3908       2810.4810
       5481.4082       2780.5942
       5481.4256       2878.7214
       5481.4430       2843.1082
       5481.4604       2846.9512
       5481.4778       2848.7043
       5481.4952       2907.1030
       5481.5126       2924.0095
       5481.5300       2799.4346
       5481.5474       2859.4705
       5481.5648       2839.1824
       5481.5822       2839.9329
       5481.5995       2819.8130
       5481.6169       2760.8481
       5481.6343       2805.8237
       5481.6517       2853.6665
       5481.6691       2948.4170
       5481.6865       2854.8347
       5481.7039       2845.3179
       5481.7213       2829.5183
       5481.7386       2810.6975
       5481.7560       2813.1353
       5481.7734       2882.1199
       5481.7908       2778.3276
       5481.8082       2844.8411
       5481.8255       2802.4802
       5481.8429       2843.2493
       5481.8603       2850.2502
       5481.8777       2851.2144
       5481.8950       2913.2603
       5481.9124       2888.7061
       5481.9298       2844.0591
       5481.9472       2897.2246
       5481.9645       2814.1301
       5481.9819       2951.7793
       5481.9993       2811.8518
       5482.0166       2945.3452
       5482.0340       2894.7483
       5482.0513       3001.9412
       5482.0687       2931.9492
       5482.0861       2954.1018
       5482.1034       2987.6094
       5482.1208       2925.4971
       5482.1381       2903.4863
       5482.1555       2973.2251
       5482.1728       2994.1013
       5482.1902       2997.9902
       5482.2076       2936.2273
       5482.2249       2972.8572
       5482.2423       2924.4243
       5482.2596       2857.5366
