FILENAME: HD127334_2015-06-12T22-54-28.471_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-12T22:54:28.471
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -16534.831
WS_BJD:        2457186.5
       5480.3442       12787.823
       5480.3617       13548.818
       5480.3792       14014.012
       5480.3966       14360.896
       5480.4141       14677.880
       5480.4316       14586.335
       5480.4490       14463.930
       5480.4665       14651.257
       5480.4840       14596.371
       5480.5015       14667.816
       5480.5189       14371.509
       5480.5364       14495.103
       5480.5538       14881.070
       5480.5713       14444.613
       5480.5888       14711.330
       5480.6062       14635.447
       5480.6237       14409.521
       5480.6411       14725.653
       5480.6586       14715.288
       5480.6761       14935.593
       5480.6935       15010.699
       5480.7110       14946.695
       5480.7284       14997.800
       5480.7459       15070.976
       5480.7633       15080.636
       5480.7808       15109.278
       5480.7982       15012.475
       5480.8157       15057.163
       5480.8331       15078.566
       5480.8506       15087.456
       5480.8680       15240.192
       5480.8854       15312.047
       5480.9029       15617.747
       5480.9203       15570.095
       5480.9378       15466.788
       5480.9552       15383.396
       5480.9726       15141.837
       5480.9901       15586.953
       5481.0075       15210.072
       5481.0249       15396.141
       5481.0424       15433.771
       5481.0598       15225.169
       5481.0772       15190.758
       5481.0946       15213.213
       5481.1121       15241.911
       5481.1295       15360.636
       5481.1469       15363.905
       5481.1643       15369.505
       5481.1818       15241.010
       5481.1992       15328.481
       5481.2166       15224.640
       5481.2340       15462.658
       5481.2514       15537.929
       5481.2689       15615.680
       5481.2863       15425.612
       5481.3037       15520.890
       5481.3211       15513.585
       5481.3385       15563.978
       5481.3559       16004.953
       5481.3733       15684.520
       5481.3907       15879.881
       5481.4081       15878.511
       5481.4255       16084.805
       5481.4430       16229.852
       5481.4604       16023.521
       5481.4778       15829.240
       5481.4952       16076.779
       5481.5126       16174.178
       5481.5300       16245.623
       5481.5474       15959.186
       5481.5647       15789.136
       5481.5821       16064.273
       5481.5995       15879.296
       5481.6169       16118.528
       5481.6343       16324.424
       5481.6517       16483.631
       5481.6691       16251.081
       5481.6865       16279.605
       5481.7039       16430.078
       5481.7213       16234.353
       5481.7386       16258.539
       5481.7560       16096.748
       5481.7734       15827.695
       5481.7908       16028.174
       5481.8082       16055.545
       5481.8255       16003.478
       5481.8429       16154.891
       5481.8603       16330.876
       5481.8777       16208.192
       5481.8950       16772.813
       5481.9124       16511.215
       5481.9298       16321.888
       5481.9472       16290.930
       5481.9645       16413.162
       5481.9819       16471.027
       5481.9993       16640.721
       5482.0166       16708.820
       5482.0340       16618.865
       5482.0514       16623.555
       5482.0687       16757.713
       5482.0861       16597.273
       5482.1034       16716.941
       5482.1208       16841.393
       5482.1381       16486.516
       5482.1555       16871.279
       5482.1729       17138.611
       5482.1902       16960.334
       5482.2076       16879.670
       5482.2249       17118.816
       5482.2423       16789.635
       5482.2596       16240.980
       5482.2770       15648.373
       5482.2943       15252.478
       5482.3117       14503.733
       5482.3290       14506.018
       5482.3463       14801.804
       5482.3637       15453.892
       5482.3810       15946.248
       5482.3984       16487.273
       5482.4157       17015.109
       5482.4330       17414.717
