FILENAME: HD127334_2015-06-17T20-47-57.976_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-17T20:47:57.976
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -16920.600
WS_BJD:        2457191.4
       5480.3442       8027.9878
       5480.3617       8553.2139
       5480.3791       9145.9873
       5480.3966       9288.2002
       5480.4141       9456.4795
       5480.4316       9449.1338
       5480.4490       9490.1934
       5480.4665       9420.0088
       5480.4840       9517.6533
       5480.5014       9579.4980
       5480.5189       9324.3740
       5480.5364       9472.3076
       5480.5538       9418.3145
       5480.5713       9480.5449
       5480.5888       9700.0781
       5480.6062       9597.3994
       5480.6237       9760.9131
       5480.6411       9587.2764
       5480.6586       9810.1113
       5480.6761       9830.4482
       5480.6935       9737.6113
       5480.7110       9899.9082
       5480.7284       9852.0303
       5480.7459       9863.7109
       5480.7633       9688.6758
       5480.7808       9852.0400
       5480.7982       9827.3105
       5480.8157       9658.8008
       5480.8331       9522.7188
       5480.8506       9707.7773
       5480.8680       9856.4355
       5480.8854       9888.7881
       5480.9029       9779.1992
       5480.9203       10067.147
       5480.9378       9892.7861
       5480.9552       10055.787
       5480.9726       10019.202
       5480.9901       9996.0176
       5481.0075       9806.8750
       5481.0249       9984.0215
       5481.0424       9934.9287
       5481.0598       9861.6240
       5481.0772       9891.1250
       5481.0947       9846.7881
       5481.1121       9666.1768
       5481.1295       9639.8818
       5481.1469       9887.1563
       5481.1644       9988.2070
       5481.1818       10045.593
       5481.1992       9884.5693
       5481.2166       9838.2500
       5481.2340       10075.293
       5481.2515       9982.0361
       5481.2689       10122.604
       5481.2863       10142.527
       5481.3037       10147.516
       5481.3211       10102.232
       5481.3385       10256.280
       5481.3559       10294.793
       5481.3734       10286.119
       5481.3908       10255.026
       5481.4082       10318.834
       5481.4256       10304.099
       5481.4430       10208.456
       5481.4604       10374.819
       5481.4778       10529.665
       5481.4952       10429.893
       5481.5126       10521.104
       5481.5300       10492.536
       5481.5474       10526.566
       5481.5648       10484.413
       5481.5822       10461.205
       5481.5996       10418.321
       5481.6170       10437.569
       5481.6344       10663.785
       5481.6517       10584.567
       5481.6691       10718.633
       5481.6865       10749.978
       5481.7039       10686.519
       5481.7213       10675.041
       5481.7387       10406.897
       5481.7561       10455.336
       5481.7734       10519.902
       5481.7908       10291.993
       5481.8082       10569.843
       5481.8256       10464.282
       5481.8430       10649.406
       5481.8603       10517.803
       5481.8777       10731.756
       5481.8951       10887.412
       5481.9125       10825.318
       5481.9298       10781.813
       5481.9472       10661.439
       5481.9646       10808.853
       5481.9819       10632.011
       5481.9993       10637.113
       5482.0167       10929.179
       5482.0340       10777.657
       5482.0514       11011.733
       5482.0688       10943.334
       5482.0861       10954.188
       5482.1035       10915.216
       5482.1208       10861.183
       5482.1382       10822.063
       5482.1555       10958.196
       5482.1729       10841.183
       5482.1903       10855.834
       5482.2076       11146.896
       5482.2250       11084.910
       5482.2423       10959.513
       5482.2597       10823.697
       5482.2770       10467.842
       5482.2944       10094.698
       5482.3117       9572.4355
       5482.3290       9438.6563
       5482.3464       9487.2422
