FILENAME: HD127334_2015-06-06T20-47-59.388_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-06T20:47:59.388
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863942
WS_BARY:       -15529.113
WS_BJD:        2457180.4
       5480.3441       4888.1514
       5480.3615       5074.0313
       5480.3790       5067.9834
       5480.3965       5193.8745
       5480.4140       5326.4155
       5480.4314       5283.5835
       5480.4489       5215.1016
       5480.4664       5266.7964
       5480.4838       5343.7925
       5480.5013       5263.2964
       5480.5188       5244.7568
       5480.5363       5345.2373
       5480.5537       5274.8926
       5480.5712       5280.1055
       5480.5886       5300.2852
       5480.6061       5223.7275
       5480.6236       5360.1538
       5480.6410       5369.6348
       5480.6585       5339.5435
       5480.6759       5401.6216
       5480.6934       5329.2378
       5480.7109       5542.2290
       5480.7283       5463.2959
       5480.7458       5396.7686
       5480.7632       5329.4038
       5480.7807       5479.6421
       5480.7981       5318.0562
       5480.8156       5339.8052
       5480.8330       5447.7451
       5480.8505       5424.7637
       5480.8679       5484.4775
       5480.8853       5537.5825
       5480.9028       5533.0171
       5480.9202       5573.8657
       5480.9377       5423.4580
       5480.9551       5474.0562
       5480.9725       5390.3247
       5480.9900       5576.5542
       5481.0074       5475.6826
       5481.0248       5448.7407
       5481.0423       5476.8389
       5481.0597       5515.0103
       5481.0771       5553.0332
       5481.0946       5506.7568
       5481.1120       5475.3750
       5481.1294       5604.8916
       5481.1468       5521.2729
       5481.1643       5439.1646
       5481.1817       5582.1187
       5481.1991       5646.0688
       5481.2165       5478.5977
       5481.2340       5641.3105
       5481.2514       5625.5552
       5481.2688       5603.7021
       5481.2862       5569.4951
       5481.3036       5644.1626
       5481.3210       5755.3838
       5481.3384       5743.6030
       5481.3559       5768.5947
       5481.3733       5706.9551
       5481.3907       5622.4849
       5481.4081       5860.7476
       5481.4255       5794.7568
       5481.4429       5782.2026
       5481.4603       5843.4482
       5481.4777       5763.5498
       5481.4951       5805.6870
       5481.5125       5929.1260
       5481.5299       5748.3550
       5481.5473       5882.2031
       5481.5647       5823.8901
       5481.5821       5824.9141
       5481.5995       5914.5298
       5481.6169       5928.4580
       5481.6343       5909.2305
       5481.6517       6027.7271
       5481.6691       5858.8506
       5481.6864       5928.4575
       5481.7038       5894.4365
       5481.7212       5777.0415
       5481.7386       5802.5244
       5481.7560       5760.2622
       5481.7734       5836.2158
       5481.7907       5822.6587
       5481.8081       5809.4780
       5481.8255       5834.5581
       5481.8429       5880.2891
       5481.8603       5879.8755
       5481.8776       5873.4507
       5481.8950       5986.2856
       5481.9124       6005.1934
       5481.9298       6069.0430
       5481.9471       5953.3809
       5481.9645       5955.1567
       5481.9819       6052.8267
       5481.9992       6019.6396
       5482.0166       6060.5337
       5482.0340       5988.3608
       5482.0513       6054.7827
       5482.0687       6070.9629
       5482.0861       6175.4961
       5482.1034       6096.5903
       5482.1208       5963.9419
       5482.1381       6016.1919
       5482.1555       6111.7070
       5482.1728       6198.3555
       5482.1902       6032.2310
       5482.2076       6177.2275
       5482.2249       6008.2969
       5482.2423       6023.6304
       5482.2596       5628.6660
