FILENAME: HD127334_2015-06-12T20-49-38.632_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-12T20:49:38.632
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -16361.024
WS_BJD:        2457186.4
       5480.3442       9159.9453
       5480.3617       9661.7588
       5480.3792       10042.606
       5480.3966       10233.949
       5480.4141       10479.070
       5480.4316       10548.271
       5480.4490       10385.250
       5480.4665       10471.722
       5480.4840       10443.526
       5480.5015       10485.498
       5480.5189       10239.732
       5480.5364       10184.848
       5480.5538       10477.477
       5480.5713       10471.021
       5480.5888       10426.707
       5480.6062       10498.987
       5480.6237       10623.652
       5480.6411       10507.155
       5480.6586       10659.625
       5480.6761       10595.354
       5480.6935       10694.104
       5480.7110       10698.262
       5480.7284       10700.542
       5480.7459       10608.185
       5480.7633       10806.965
       5480.7808       10703.195
       5480.7982       10666.821
       5480.8157       10723.148
       5480.8331       10855.565
       5480.8506       10837.667
       5480.8680       10934.841
       5480.8854       10950.438
       5480.9029       10910.107
       5480.9203       10884.081
       5480.9378       11114.953
       5480.9552       10889.493
       5480.9726       10967.777
       5480.9901       10975.842
       5481.0075       10857.622
       5481.0249       10863.116
       5481.0424       10853.137
       5481.0598       10745.632
       5481.0772       10853.781
       5481.0946       10881.489
       5481.1121       10904.937
       5481.1295       10763.535
       5481.1469       10979.019
       5481.1643       10912.895
       5481.1818       10947.137
       5481.1992       10998.181
       5481.2166       10735.870
       5481.2340       10699.828
       5481.2514       10720.135
       5481.2689       10906.488
       5481.2863       11174.358
       5481.3037       11304.073
       5481.3211       11094.123
       5481.3385       11231.527
       5481.3559       11338.434
       5481.3733       11333.032
       5481.3907       11348.663
       5481.4081       11259.826
       5481.4255       11633.539
       5481.4430       11552.332
       5481.4604       11394.846
       5481.4778       11432.206
       5481.4952       11475.425
       5481.5126       11494.174
       5481.5300       11399.752
       5481.5474       11428.690
       5481.5647       11304.028
       5481.5821       11435.355
       5481.5995       11498.958
       5481.6169       11575.942
       5481.6343       11664.476
       5481.6517       11572.219
       5481.6691       11608.470
       5481.6865       11626.744
       5481.7039       11851.757
       5481.7213       11589.506
       5481.7386       11688.289
       5481.7560       11325.845
       5481.7734       11278.774
       5481.7908       11341.651
       5481.8082       11689.157
       5481.8255       11615.313
       5481.8429       11504.894
       5481.8603       11659.056
       5481.8777       11532.229
       5481.8950       11962.314
       5481.9124       11790.963
       5481.9298       11758.208
       5481.9472       11627.371
       5481.9645       11800.590
       5481.9819       11717.729
       5481.9993       11786.318
       5482.0166       11877.354
       5482.0340       11840.596
       5482.0514       11780.735
       5482.0687       12006.269
       5482.0861       11809.838
       5482.1034       11918.468
       5482.1208       11936.810
       5482.1381       11875.396
       5482.1555       11804.460
       5482.1729       11960.317
       5482.1902       12008.436
       5482.2076       12046.988
       5482.2249       12110.376
       5482.2423       11917.531
       5482.2596       11822.135
       5482.2770       11245.897
       5482.2943       10728.710
       5482.3117       10427.239
       5482.3290       10121.996
       5482.3463       10641.617
       5482.3637       10977.600
       5482.3810       11442.207
       5482.3984       11889.069
       5482.4157       12035.677
