FILENAME: HD127334_2015-06-17T20-55-52.712_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-17T20:55:52.712
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -16931.003
WS_BJD:        2457191.4
       5480.3442       8781.0391
       5480.3617       9438.6719
       5480.3791       9988.0322
       5480.3966       10214.422
       5480.4141       10267.981
       5480.4316       10410.362
       5480.4490       10361.264
       5480.4665       10565.314
       5480.4840       10311.547
       5480.5014       10382.407
       5480.5189       10446.664
       5480.5364       10476.359
       5480.5538       10514.870
       5480.5713       10571.364
       5480.5888       10664.667
       5480.6062       10553.215
       5480.6237       10562.667
       5480.6411       10633.259
       5480.6586       10635.068
       5480.6761       10685.119
       5480.6935       10571.603
       5480.7110       10714.482
       5480.7284       10810.144
       5480.7459       10871.686
       5480.7633       10621.521
       5480.7808       10647.761
       5480.7982       10653.496
       5480.8157       10651.468
       5480.8331       10545.016
       5480.8506       10664.497
       5480.8680       10625.625
       5480.8854       10828.142
       5480.9029       10969.249
       5480.9203       10989.565
       5480.9378       10923.021
       5480.9552       11012.971
       5480.9726       11141.521
       5480.9901       11018.116
       5481.0075       11107.747
       5481.0249       11039.881
       5481.0424       10678.741
       5481.0598       11033.806
       5481.0772       11047.222
       5481.0947       10861.284
       5481.1121       10532.485
       5481.1295       10700.843
       5481.1469       10873.978
       5481.1644       10797.828
       5481.1818       10966.576
       5481.1992       11118.461
       5481.2166       10959.384
       5481.2340       10964.892
       5481.2515       10973.604
       5481.2689       11042.224
       5481.2863       11147.688
       5481.3037       11123.237
       5481.3211       10997.567
       5481.3385       11157.704
       5481.3559       11282.882
       5481.3734       11266.712
       5481.3908       11510.426
       5481.4082       11250.610
       5481.4256       11383.040
       5481.4430       11348.986
       5481.4604       11562.369
       5481.4778       11476.529
       5481.4952       11484.125
       5481.5126       11595.094
       5481.5300       11415.309
       5481.5474       11546.592
       5481.5648       11686.789
       5481.5822       11544.408
       5481.5996       11498.132
       5481.6170       11313.312
       5481.6344       11700.517
       5481.6517       11600.783
       5481.6691       11638.828
       5481.6865       11747.403
       5481.7039       11692.154
       5481.7213       11621.811
       5481.7387       11539.666
       5481.7561       11449.482
       5481.7734       11354.393
       5481.7908       11385.225
       5481.8082       11495.247
       5481.8256       11494.983
       5481.8430       11747.356
       5481.8603       11550.238
       5481.8777       11784.850
       5481.8951       11837.868
       5481.9125       11905.053
       5481.9298       11864.591
       5481.9472       11684.011
       5481.9646       11835.504
       5481.9819       11655.368
       5481.9993       11846.579
       5482.0167       11917.104
       5482.0340       11914.679
       5482.0514       11883.531
       5482.0688       11999.670
       5482.0861       11871.495
       5482.1035       11946.829
       5482.1208       12117.518
       5482.1382       11993.283
       5482.1555       12067.863
       5482.1729       11842.330
       5482.1903       12012.398
       5482.2076       12324.842
       5482.2250       13131.323
       5482.2423       14789.754
       5482.2597       13390.565
       5482.2770       12270.698
       5482.2944       11664.158
       5482.3117       10504.671
       5482.3290       10436.947
       5482.3464       10525.567
       5482.3637       10611.030
       5482.3811       11383.291
       5482.3984       11557.332
       5482.4157       12058.130
