FILENAME: HD127334_2015-06-10T20-56-32.172_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-10T20:56:32.172
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -16110.557
WS_BJD:        2457184.4
       5480.3443       2152.3711
       5480.3617       2318.1497
       5480.3792       2423.0046
       5480.3967       2427.2275
       5480.4142       2484.3835
       5480.4316       2444.7139
       5480.4491       2536.7834
       5480.4666       2408.9072
       5480.4840       2441.3896
       5480.5015       2455.0151
       5480.5190       2480.5156
       5480.5364       2391.8022
       5480.5539       2489.3445
       5480.5714       2437.0723
       5480.5888       2545.7129
       5480.6063       2538.2214
       5480.6237       2489.2134
       5480.6412       2500.2112
       5480.6587       2451.5056
       5480.6761       2617.2935
       5480.6936       2579.5012
       5480.7110       2468.8799
       5480.7285       2568.5835
       5480.7459       2520.1833
       5480.7634       2538.7712
       5480.7808       2508.5010
       5480.7983       2455.2688
       5480.8157       2509.0608
       5480.8332       2585.1079
       5480.8506       2487.2192
       5480.8680       2542.4097
       5480.8855       2653.4294
       5480.9029       2542.2644
       5480.9204       2521.6064
       5480.9378       2552.8918
       5480.9552       2557.0732
       5480.9727       2519.5391
       5480.9901       2587.9827
       5481.0075       2602.0920
       5481.0250       2588.0095
       5481.0424       2486.4900
       5481.0598       2591.8113
       5481.0773       2596.3311
       5481.0947       2564.0515
       5481.1121       2553.8210
       5481.1295       2527.4150
       5481.1470       2616.7090
       5481.1644       2602.3550
       5481.1818       2602.6797
       5481.1992       2607.4651
       5481.2166       2643.0996
       5481.2341       2637.6997
       5481.2515       2664.1975
       5481.2689       2580.7024
       5481.2863       2596.2422
       5481.3037       2652.3848
       5481.3211       2670.6550
       5481.3385       2696.8716
       5481.3559       2758.1616
       5481.3734       2687.5737
       5481.3908       2688.4697
       5481.4082       2676.6609
       5481.4256       2651.2205
       5481.4430       2627.5098
       5481.4604       2624.4768
       5481.4778       2714.7268
       5481.4952       2685.3035
       5481.5126       2718.9141
       5481.5300       2692.0251
       5481.5474       2721.4739
       5481.5648       2678.0808
       5481.5822       2796.9072
       5481.5995       2682.7432
       5481.6169       2671.7810
       5481.6343       2683.7583
       5481.6517       2743.1106
       5481.6691       2749.3555
       5481.6865       2698.1770
       5481.7039       2730.3638
       5481.7213       2755.6763
       5481.7386       2708.3953
       5481.7560       2766.1875
       5481.7734       2693.8516
       5481.7908       2735.7544
       5481.8082       2707.1858
       5481.8255       2725.7180
       5481.8429       2697.2603
       5481.8603       2727.9492
       5481.8777       2682.7229
       5481.8950       2803.9756
       5481.9124       2780.0044
       5481.9298       2806.2058
       5481.9472       2695.1262
       5481.9645       2802.8250
       5481.9819       2856.8159
       5481.9993       2792.5098
       5482.0166       2800.6536
       5482.0340       2849.9321
       5482.0513       2854.8896
       5482.0687       2845.4717
       5482.0861       2800.9263
       5482.1034       2741.2949
       5482.1208       2868.8735
       5482.1381       2849.4434
       5482.1555       2836.1626
       5482.1728       2809.9805
       5482.1902       2867.7290
       5482.2076       2806.4297
       5482.2249       2854.3052
       5482.2423       2853.5317
       5482.2596       2603.5391
