FILENAME: HD127334_2015-06-18T20-48-18.681_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-18T20:48:18.681
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -17017.909
WS_BJD:        2457192.4
       5480.3441       8605.1016
       5480.3615       9255.2061
       5480.3790       9734.4912
       5480.3965       9979.0977
       5480.4140       10084.823
       5480.4314       10306.352
       5480.4489       10266.739
       5480.4664       10289.955
       5480.4839       10266.877
       5480.5013       10280.466
       5480.5188       10178.972
       5480.5363       10202.243
       5480.5537       10149.841
       5480.5712       10729.481
       5480.5886       10473.658
       5480.6061       10408.894
       5480.6236       10462.386
       5480.6410       10335.008
       5480.6585       10455.138
       5480.6759       10323.701
       5480.6934       10498.479
       5480.7108       10513.021
       5480.7283       10467.813
       5480.7457       10367.953
       5480.7632       10543.620
       5480.7806       10394.290
       5480.7981       10322.103
       5480.8155       10487.023
       5480.8330       10501.470
       5480.8504       10504.300
       5480.8679       10609.642
       5480.8853       10629.578
       5480.9028       10665.135
       5480.9202       10799.286
       5480.9376       10749.599
       5480.9551       10958.063
       5480.9725       10874.902
       5480.9899       10845.739
       5481.0074       10759.222
       5481.0248       10691.487
       5481.0422       10688.689
       5481.0597       10662.312
       5481.0771       10589.967
       5481.0945       10645.411
       5481.1120       10690.537
       5481.1294       10704.569
       5481.1468       10760.578
       5481.1642       10572.564
       5481.1817       10712.259
       5481.1991       10818.023
       5481.2165       10945.972
       5481.2339       10834.200
       5481.2513       10942.325
       5481.2687       10963.161
       5481.2862       10988.427
       5481.3036       10964.617
       5481.3210       10836.422
       5481.3384       10961.062
       5481.3558       11111.384
       5481.3732       10959.254
       5481.3906       11111.470
       5481.4080       11157.157
       5481.4254       11027.003
       5481.4428       11190.139
       5481.4602       11262.854
       5481.4776       11213.021
       5481.4950       11262.358
       5481.5124       11383.143
       5481.5298       11451.719
       5481.5472       11340.990
       5481.5646       11230.490
       5481.5820       11326.094
       5481.5994       11277.944
       5481.6168       11425.304
       5481.6342       11612.536
       5481.6516       11513.231
       5481.6690       11580.757
       5481.6864       11704.478
       5481.7038       11456.335
       5481.7212       11554.289
       5481.7385       11303.267
       5481.7559       11280.227
       5481.7733       11298.034
       5481.7907       11165.210
       5481.8081       11251.404
       5481.8254       11451.524
       5481.8428       11376.403
       5481.8602       11500.040
       5481.8776       11484.054
       5481.8949       11457.189
       5481.9123       11473.480
       5481.9297       11531.893
       5481.9471       11525.087
       5481.9644       11451.487
       5481.9818       11411.983
       5481.9992       11470.433
       5482.0165       11477.518
       5482.0339       11647.347
       5482.0513       11633.998
       5482.0686       11779.052
       5482.0860       11817.844
       5482.1033       11948.851
       5482.1207       11771.957
       5482.1381       11847.896
       5482.1554       11830.980
       5482.1728       11766.319
       5482.1901       11797.154
       5482.2075       12187.061
       5482.2248       11907.316
       5482.2422       11769.495
       5482.2595       11600.663
       5482.2769       11254.077
       5482.2942       10866.715
       5482.3116       10339.184
       5482.3289       10005.092
       5482.3462       10135.238
       5482.3636       10325.672
       5482.3809       10976.870
       5482.3983       11614.667
       5482.4156       11903.204
