FILENAME: HD127334_2015-06-14T22-47-14.852_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-14T22:47:14.852
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863942
WS_BARY:       -16764.184
WS_BJD:        2457188.5
       5480.3445       12931.136
       5480.3620       13629.576
       5480.3794       14375.366
       5480.3969       14569.422
       5480.4144       14887.204
       5480.4319       14855.838
       5480.4493       14812.907
       5480.4668       15074.326
       5480.4843       14778.694
       5480.5017       14989.753
       5480.5192       14823.540
       5480.5367       14935.754
       5480.5541       15093.969
       5480.5716       15257.676
       5480.5890       15004.608
       5480.6065       15080.818
       5480.6240       15226.080
       5480.6414       15056.224
       5480.6589       15189.169
       5480.6763       15164.418
       5480.6938       15364.063
       5480.7112       15340.227
       5480.7287       15503.663
       5480.7461       15171.406
       5480.7636       15411.179
       5480.7810       15103.729
       5480.7985       15454.587
       5480.8159       15300.255
       5480.8334       15548.011
       5480.8508       15554.177
       5480.8683       15388.015
       5480.8857       15506.059
       5480.9031       15500.005
       5480.9206       15624.255
       5480.9380       15473.990
       5480.9555       15569.250
       5480.9729       15766.416
       5480.9903       15651.187
       5481.0078       15872.738
       5481.0252       15655.877
       5481.0426       15664.728
       5481.0601       15441.451
       5481.0775       15537.464
       5481.0949       15529.271
       5481.1123       15595.632
       5481.1298       15520.644
       5481.1472       15575.168
       5481.1646       15610.282
       5481.1820       15712.133
       5481.1994       15648.347
       5481.2169       15779.394
       5481.2343       15646.180
       5481.2517       15847.193
       5481.2691       15780.057
       5481.2865       15799.889
       5481.3039       16162.535
       5481.3214       15615.485
       5481.3388       16121.228
       5481.3562       15934.191
       5481.3736       16027.071
       5481.3910       16229.549
       5481.4084       16363.928
       5481.4258       16239.480
       5481.4432       16475.584
       5481.4606       16525.438
       5481.4780       16569.160
       5481.4954       16450.631
       5481.5128       16460.949
       5481.5302       16592.676
       5481.5476       16435.188
       5481.5650       16275.635
       5481.5824       16509.252
       5481.5998       16529.896
       5481.6172       16645.947
       5481.6346       16652.943
       5481.6520       16832.234
       5481.6693       16856.678
       5481.6867       16814.828
       5481.7041       16479.443
       5481.7215       16740.414
       5481.7389       16548.781
       5481.7563       16464.854
       5481.7736       16404.051
       5481.7910       16345.767
       5481.8084       16540.195
       5481.8258       16601.879
       5481.8432       16680.018
       5481.8605       16721.631
       5481.8779       17096.379
       5481.8953       16950.930
       5481.9127       16904.719
       5481.9300       16843.734
       5481.9474       16861.873
       5481.9648       17015.770
       5481.9821       16772.465
       5481.9995       17045.520
       5482.0169       16931.852
       5482.0342       16977.982
       5482.0516       17090.928
       5482.0689       17187.340
       5482.0863       17259.953
       5482.1037       17196.449
       5482.1210       17253.383
       5482.1384       17178.617
       5482.1557       17314.295
       5482.1731       17114.336
       5482.1904       17336.061
       5482.2078       17420.648
       5482.2251       17278.398
       5482.2425       17403.133
       5482.2598       16731.410
       5482.2772       16364.829
       5482.2945       15937.873
       5482.3119       15115.794
       5482.3292       14963.640
       5482.3466       14894.274
       5482.3639       15482.994
       5482.3812       16026.454
       5482.3986       16957.484
       5482.4159       17369.182
       5482.4333       17638.740
