FILENAME: HD127334_2015-06-15T21-03-01.010_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-15T21:03:01.010
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -16731.205
WS_BJD:        2457189.4
       5480.3446       5966.8809
       5480.3620       6431.6797
       5480.3795       6544.2695
       5480.3970       6816.9170
       5480.4145       6848.6079
       5480.4319       6880.6440
       5480.4494       6897.2852
       5480.4669       6848.5361
       5480.4843       6937.8315
       5480.5018       6838.4058
       5480.5193       6883.9951
       5480.5367       6976.4111
       5480.5542       7017.2832
       5480.5717       6950.3018
       5480.5891       6964.3530
       5480.6066       7002.3906
       5480.6240       7025.2051
       5480.6415       7005.0317
       5480.6590       7041.3823
       5480.6764       7169.0620
       5480.6939       7097.9072
       5480.7113       7122.4717
       5480.7288       7188.1172
       5480.7462       7143.6777
       5480.7637       7028.9390
       5480.7811       6966.0327
       5480.7986       7076.7500
       5480.8160       7154.9355
       5480.8334       7068.5400
       5480.8509       7149.7578
       5480.8683       7152.9976
       5480.8858       7172.3262
       5480.9032       7022.1475
       5480.9206       7352.9878
       5480.9381       7196.9053
       5480.9555       7336.1187
       5480.9730       7237.4927
       5480.9904       7293.8560
       5481.0078       7341.9575
       5481.0252       7255.5801
       5481.0427       7305.2710
       5481.0601       7163.9814
       5481.0775       7099.3174
       5481.0950       7349.4678
       5481.1124       7161.0435
       5481.1298       7291.8525
       5481.1472       7132.4531
       5481.1647       7139.3130
       5481.1821       7331.0376
       5481.1995       7158.0195
       5481.2169       7209.6436
       5481.2343       7353.7578
       5481.2517       7436.2627
       5481.2692       7073.8057
       5481.2866       7232.0415
       5481.3040       7312.7236
       5481.3214       7355.1938
       5481.3388       7422.3271
       5481.3562       7369.1001
       5481.3736       7413.0996
       5481.3910       7472.5449
       5481.4084       7619.3813
       5481.4258       7471.5654
       5481.4432       7553.0352
       5481.4606       7663.3330
       5481.4780       7617.7480
       5481.4954       7585.6250
       5481.5128       7624.5688
       5481.5302       7618.7813
       5481.5476       7491.0688
       5481.5650       7495.4268
       5481.5824       7563.0073
       5481.5998       7677.9141
       5481.6172       7739.1035
       5481.6346       7760.1909
       5481.6520       7761.2832
       5481.6694       7986.7827
       5481.6868       7671.3042
       5481.7041       7812.6953
       5481.7215       7674.0522
       5481.7389       7690.2002
       5481.7563       7684.2251
       5481.7737       7618.5313
       5481.7910       7657.7124
       5481.8084       7608.5361
       5481.8258       7697.0093
       5481.8432       7660.3242
       5481.8606       7696.5078
       5481.8779       7917.7832
       5481.8953       7811.0093
       5481.9127       7858.0918
       5481.9300       7962.0303
       5481.9474       7840.8491
       5481.9648       7885.4307
       5481.9821       7789.8413
       5481.9995       7765.4097
       5482.0169       7968.0352
       5482.0342       8069.4634
       5482.0516       7829.7124
       5482.0690       7960.6221
       5482.0863       7997.8350
       5482.1037       7940.8364
       5482.1210       8071.4614
       5482.1384       7871.4805
       5482.1557       8091.5488
       5482.1731       7937.3076
       5482.1904       7909.1973
       5482.2078       8052.7871
       5482.2251       8128.7183
       5482.2425       7914.7490
       5482.2598       7784.6694
