FILENAME: HD127334_2015-06-12T23-02-23.126_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-12T23:02:23.126
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -16545.746
WS_BJD:        2457186.5
       5480.3442       11888.367
       5480.3617       12679.753
       5480.3792       13533.909
       5480.3966       13456.384
       5480.4141       13691.833
       5480.4316       13835.033
       5480.4490       13688.617
       5480.4665       13886.128
       5480.4840       13751.869
       5480.5015       13591.287
       5480.5189       13595.514
       5480.5364       13671.948
       5480.5538       14006.227
       5480.5713       13775.196
       5480.5888       13868.339
       5480.6062       13933.427
       5480.6237       13951.605
       5480.6411       13677.114
       5480.6586       13976.524
       5480.6761       14062.017
       5480.6935       14028.783
       5480.7110       14073.137
       5480.7284       14145.828
       5480.7459       14121.450
       5480.7633       14077.719
       5480.7808       14013.896
       5480.7982       13960.039
       5480.8157       14101.673
       5480.8331       14212.440
       5480.8506       14307.890
       5480.8680       14258.646
       5480.8854       14315.025
       5480.9029       14444.799
       5480.9203       14596.069
       5480.9378       14396.173
       5480.9552       14512.313
       5480.9726       14472.792
       5480.9901       14565.792
       5481.0075       14273.818
       5481.0249       14454.393
       5481.0424       14263.706
       5481.0598       14430.566
       5481.0772       14273.313
       5481.0946       14110.795
       5481.1121       14227.068
       5481.1295       14263.991
       5481.1469       14587.813
       5481.1643       14246.386
       5481.1818       14502.228
       5481.1992       14463.723
       5481.2166       14279.745
       5481.2340       14377.994
       5481.2514       14467.170
       5481.2689       14589.793
       5481.2863       14460.190
       5481.3037       14772.257
       5481.3211       14600.918
       5481.3385       14673.614
       5481.3559       15028.417
       5481.3733       14734.172
       5481.3907       14941.689
       5481.4081       14835.561
       5481.4255       14984.637
       5481.4430       15254.734
       5481.4604       14999.019
       5481.4778       15009.148
       5481.4952       15215.523
       5481.5126       15216.162
       5481.5300       15211.666
       5481.5474       15192.053
       5481.5647       15197.369
       5481.5821       15160.873
       5481.5995       15000.232
       5481.6169       15075.938
       5481.6343       15242.827
       5481.6517       15271.900
       5481.6691       15492.148
       5481.6865       15243.832
       5481.7039       15666.832
       5481.7213       15157.898
       5481.7386       15099.622
       5481.7560       15111.318
       5481.7734       15032.978
       5481.7908       15047.916
       5481.8082       15284.471
       5481.8255       14901.961
       5481.8429       15429.688
       5481.8603       15394.779
       5481.8777       15625.678
       5481.8950       15731.342
       5481.9124       15617.224
       5481.9298       15595.501
       5481.9472       15383.849
       5481.9645       15214.114
       5481.9819       15560.078
       5481.9993       15528.688
       5482.0166       15575.771
       5482.0340       15566.976
       5482.0514       15998.983
       5482.0687       15615.082
       5482.0861       15668.421
       5482.1034       15686.261
       5482.1208       15832.827
       5482.1381       15758.395
       5482.1555       15982.830
       5482.1729       16084.172
       5482.1902       15728.030
       5482.2076       15877.176
       5482.2249       16057.545
       5482.2423       15968.025
       5482.2596       15180.887
       5482.2770       14856.119
       5482.2943       14179.689
       5482.3117       13618.777
       5482.3290       13555.994
       5482.3463       13843.402
       5482.3637       14403.207
       5482.3810       14838.497
       5482.3984       15434.440
       5482.4157       15936.673
       5482.4330       16238.088
